epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,2675.15,0.84074,0.50158,0.95758,0.73112,0.70662,0.75755,0.56879,1.1594,0.92433,1.2503,0.000427062,0.000427062,0.000427062
135,2703.52,0.84269,0.49912,0.95096,0.73095,0.69646,0.76434,0.55763,1.15551,0.90724,1.24059,0.000420875,0.000420875,0.000420875
136,2720.75,0.82042,0.49113,0.94691,0.72079,0.67228,0.75647,0.5629,1.12252,0.92082,1.20582,0.000414688,0.000414688,0.000414688
137,2737.55,0.82365,0.48347,0.9427,0.71509,0.70433,0.7634,0.58951,1.13899,0.9484,1.20879,0.0004085,0.0004085,0.0004085
138,2754.43,0.80779,0.46778,0.9355,0.69844,0.72508,0.76768,0.59168,1.12649,0.92051,1.20062,0.000402312,0.000402312,0.000402312
139,2771,0.81598,0.47108,0.95047,0.7385,0.71949,0.76736,0.60561,1.131,0.89058,1.20608,0.000396125,0.000396125,0.000396125
140,2787.75,0.80104,0.46522,0.93347,0.63735,0.65719,0.76689,0.58655,1.14419,0.94505,1.22189,0.000389938,0.000389938,0.000389938
141,2803.76,0.7905,0.46012,0.93731,0.75494,0.71254,0.76771,0.59387,1.13424,0.94764,1.2177,0.00038375,0.00038375,0.00038375
142,2821.2,0.81259,0.46817,0.93364,0.78746,0.71246,0.77013,0.56769,1.15004,0.91324,1.23761,0.000377563,0.000377563,0.000377563
143,2851.17,0.81841,0.47741,0.94282,0.79298,0.71629,0.77084,0.57469,1.15235,0.94049,1.24453,0.000371375,0.000371375,0.000371375
144,2867.67,0.80706,0.46063,0.93276,0.80099,0.70179,0.77221,0.58792,1.16131,0.89983,1.26239,0.000365188,0.000365188,0.000365188
145,2885.03,0.80134,0.45686,0.93237,0.78203,0.69524,0.77229,0.58871,1.14904,0.96491,1.23615,0.000359,0.000359,0.000359
146,2902.18,0.78332,0.44335,0.93073,0.74447,0.70233,0.76267,0.58381,1.15317,0.95444,1.23044,0.000352812,0.000352812,0.000352812
147,2918.91,0.79362,0.45612,0.93409,0.74354,0.70934,0.78181,0.5684,1.13793,0.91642,1.21827,0.000346625,0.000346625,0.000346625
148,2935.88,0.78835,0.45799,0.92704,0.76165,0.70411,0.77322,0.56347,1.11665,0.93326,1.19185,0.000340438,0.000340438,0.000340438
149,2950.47,0.79653,0.45842,0.93675,0.68536,0.72719,0.76681,0.58797,1.15868,0.93671,1.23418,0.00033425,0.00033425,0.00033425
150,2978.07,0.78681,0.45547,0.93012,0.77259,0.7211,0.77542,0.55789,1.1575,0.94499,1.26706,0.000328063,0.000328063,0.000328063
151,2993.43,0.7893,0.45235,0.93253,0.77074,0.74314,0.78006,0.57006,1.15876,0.93046,1.24176,0.000321875,0.000321875,0.000321875
152,3006.42,0.78187,0.44385,0.92539,0.7772,0.72088,0.78334,0.5658,1.14554,0.93607,1.23259,0.000315687,0.000315687,0.000315687
153,3019.59,0.77154,0.4517,0.93235,0.71201,0.72748,0.76669,0.5739,1.13818,0.90366,1.22752,0.0003095,0.0003095,0.0003095
154,3034.02,0.77507,0.4498,0.92585,0.7572,0.71939,0.78011,0.58659,1.13778,0.94722,1.21936,0.000303313,0.000303313,0.000303313
155,3048.56,0.76736,0.45392,0.93597,0.72931,0.74106,0.7717,0.57153,1.15825,0.962,1.24463,0.000297125,0.000297125,0.000297125
156,3063.03,0.76532,0.44618,0.92855,0.67318,0.72661,0.76771,0.56428,1.14094,0.95409,1.23752,0.000290937,0.000290937,0.000290937
157,3079.71,0.76075,0.43708,0.92158,0.81762,0.67487,0.77846,0.58483,1.14996,0.9282,1.24434,0.00028475,0.00028475,0.00028475
158,3096.68,0.76212,0.44093,0.92974,0.82391,0.66608,0.77778,0.57925,1.14339,0.91709,1.24533,0.000278562,0.000278562,0.000278562
159,3110.66,0.75664,0.44067,0.92301,0.78195,0.72168,0.77948,0.57896,1.18077,0.89281,1.27098,0.000272375,0.000272375,0.000272375
160,3128.78,0.73832,0.42919,0.91425,0.77324,0.714,0.7791,0.55987,1.1639,0.95019,1.24373,0.000266187,0.000266187,0.000266187
161,3142.98,0.77237,0.44359,0.9244,0.7311,0.72272,0.77979,0.54365,1.15992,0.89112,1.2481,0.00026,0.00026,0.00026
162,3159.27,0.76945,0.44464,0.92569,0.73332,0.71825,0.76563,0.56394,1.17212,0.94092,1.26749,0.000253812,0.000253812,0.000253812
163,3173.58,0.75058,0.43408,0.91636,0.77914,0.69342,0.76921,0.5706,1.16227,0.96267,1.26342,0.000247625,0.000247625,0.000247625
164,3188.08,0.75323,0.43594,0.91708,0.74994,0.70274,0.76818,0.56885,1.15992,0.94446,1.25566,0.000241438,0.000241438,0.000241438
165,3202.01,0.76357,0.43168,0.91853,0.75698,0.6984,0.76976,0.56926,1.14901,0.95664,1.24313,0.00023525,0.00023525,0.00023525
166,3216.34,0.76821,0.43359,0.91606,0.80249,0.70188,0.76202,0.56543,1.14787,0.98085,1.25232,0.000229063,0.000229063,0.000229063
167,3230.67,0.76365,0.43158,0.91249,0.73703,0.73905,0.77457,0.57725,1.12994,0.9069,1.23657,0.000222875,0.000222875,0.000222875
168,3245.18,0.74088,0.42333,0.91281,0.75195,0.71151,0.7636,0.54593,1.14015,0.94921,1.24294,0.000216688,0.000216688,0.000216688
169,3258.76,0.73925,0.41662,0.91061,0.7534,0.71274,0.77385,0.57785,1.14545,0.95177,1.23891,0.0002105,0.0002105,0.0002105
